Report_No,Reported_Date,Reported Time,From_Date,From Time,To_Date,To Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Invl_No,Involvement,Race,Sex,Age,Location 1,Firearm Used Flag
150064980,09/11/2015 12:00:00 AM,19:44,09/11/2015 12:00:00 AM,19:40,,,690,23H,Stealing All Other,999,400  MAIN ST,KANSAS CITY,99999,PJ0469,CPD,U,6,SUS,B,M,,"400 MAIN ST
KANSAS CITY 99999
(39.1091, -94.5831)",N
150064980,09/11/2015 12:00:00 AM,19:44,09/11/2015 12:00:00 AM,19:40,,,690,23H,Stealing All Other,999,400  MAIN ST,KANSAS CITY,99999,PJ0469,CPD,U,2,SUS,B,M,,"400 MAIN ST
KANSAS CITY 99999
(39.1091, -94.5831)",N
150064980,09/11/2015 12:00:00 AM,19:44,09/11/2015 12:00:00 AM,19:40,,,690,23H,Stealing All Other,999,400  MAIN ST,KANSAS CITY,99999,PJ0469,CPD,U,5,SUS,B,M,,"400 MAIN ST
KANSAS CITY 99999
(39.1091, -94.5831)",N
150064980,09/11/2015 12:00:00 AM,19:44,09/11/2015 12:00:00 AM,19:40,,,690,23H,Stealing All Other,999,400  MAIN ST,KANSAS CITY,99999,PJ0469,CPD,U,3,SUS,B,M,,"400 MAIN ST
KANSAS CITY 99999
(39.1091, -94.5831)",N
150064980,09/11/2015 12:00:00 AM,19:44,09/11/2015 12:00:00 AM,19:40,,,690,23H,Stealing All Other,999,400  MAIN ST,KANSAS CITY,99999,PJ0469,CPD,U,4,SUS,B,M,,"400 MAIN ST
KANSAS CITY 99999
(39.1091, -94.5831)",N
150055631,08/08/2015 12:00:00 AM,8:12,08/08/2015 12:00:00 AM,2:23,08/08/2015 12:00:00 AM,2:40,502,220,Burglary - Non Resid,111,200  W 5 ST,KANSAS CITY,64105,PJ0522,CPD,U,1,SUS,W,M,,"200 W 5 ST
KANSAS CITY 64105
(39.1083, -94.5859)",N
150064980,09/11/2015 12:00:00 AM,19:44,09/11/2015 12:00:00 AM,19:40,,,690,23H,Stealing All Other,999,400  MAIN ST,KANSAS CITY,99999,PJ0469,CPD,U,1,SUS,B,F,,"400 MAIN ST
KANSAS CITY 99999
(39.1091, -94.5831)",N
150045680,07/03/2015 12:00:00 AM,7:31,07/02/2015 12:00:00 AM,23:00,07/03/2015 12:00:00 AM,6:30,702,240,Auto Theft,111,400  DELAWARE ST,KANSAS CITY,64105,PJ0493,CPD,U,1,VIC,W,M,19,"400 DELAWARE ST
KANSAS CITY 64105
(39.1088, -94.5849)",N
150009746,02/09/2015 12:00:00 AM,16:52,02/09/2015 12:00:00 AM,5:00,02/09/2015 12:00:00 AM,16:30,501,220,Burglary - Residence,111,0  W 3 ST ,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,W,M,22,"0 W 3 ST
KANSAS CITY 64105
(39.1099, -94.5834)",N
150015207,03/05/2015 12:00:00 AM,6:48,03/04/2015 12:00:00 AM,16:30,03/05/2015 12:00:00 AM,6:15,702,240,Auto Theft,111,0  W 3 ST,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,W,M,22,"0 W 3 ST
KANSAS CITY 64105
(39.1099, -94.5834)",N
150050446,07/20/2015 12:00:00 AM,16:27,07/19/2015 12:00:00 AM,19:00,07/20/2015 12:00:00 AM,15:00,702,240,Auto Theft,111,0  W 3 ST,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,U,F,22,"0 W 3 ST
KANSAS CITY 64105
(39.1099, -94.5834)",N
150014452,03/02/2015 12:00:00 AM,1:10,03/01/2015 12:00:00 AM,22:00,03/02/2015 12:00:00 AM,0:30,702,240,Auto Theft,111,500  E 3 ST,KANSAS CITY,64131,PJ0357,CPD,U,1,VIC,W,M,22,"500 E 3 ST
KANSAS CITY 64131
(39.1109, -94.5785)",N
150064541,09/10/2015 12:00:00 AM,9:08,09/08/2015 12:00:00 AM,14:00,09/08/2015 12:00:00 AM,21:00,650,23G,Stealing Auto Parts/,111,400  E 5 ST,KANSAS CITY,64111,PJ0465,CPD,U,1,VIC,W,M,22,"400 E 5 ST
KANSAS CITY 64111
(39.1091, -94.5791)",N
150014479,03/02/2015 12:00:00 AM,8:10,02/28/2015 12:00:00 AM,12:00,03/02/2015 12:00:00 AM,7:50,702,240,Auto Theft,111,200  W 2 ST,KANSAS CITY,64105,PJ0375,CPD,U,1,VIC,W,F,22,"200 W 2 ST
KANSAS CITY 64105
(39.1107, -94.5845)",N
